experiment,problem,approach,size,instance_id,n_runs,expected_runs,technical_success_rate,conditional_feasibility_rate,overall_feasible_rate,optimal_solution_rate,consistency_rate,n_distinct_feasible_values,instance_gap_count,instance_gap_mean_pct,instance_gap_median_pct,instance_gap_std_pct,instance_gap_min_pct,instance_gap_max_pct,instance_gap_q25_pct,instance_gap_q75_pct,instance_gap_iqr_pct,instance_runtime_count,instance_runtime_mean_seconds,instance_runtime_median_seconds,instance_runtime_std_seconds,instance_runtime_min_seconds,instance_runtime_max_seconds,instance_debug_iterations_mean,instance_debug_iterations_median
main,SICLSP,Code-Based,10,siclsp_T10_inst3,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
main,SICLSP,Code-Based,10,siclsp_T10_inst4,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.3,0.0
main,SICLSP,Code-Based,15,siclsp_T15_inst0,10,10,1.0,1.0,1.0,0.9,0.9,2,10,0.37393162393162394,0.0,1.182475620789458,0.0,3.7393162393162394,0.0,0.0,0.0,0,,,,,,0.1,0.0
main,SICLSP,Code-Based,15,siclsp_T15_inst1,10,10,1.0,1.0,1.0,0.9,0.9,2,10,0.04291845493562232,0.0,0.13572007125186178,0.0,0.4291845493562232,0.0,0.0,0.0,0,,,,,,0.0,0.0
main,SICLSP,Code-Based,15,siclsp_T15_inst2,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
main,SICLSP,Code-Based,15,siclsp_T15_inst3,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.3,0.0
main,SICLSP,Code-Based,15,siclsp_T15_inst4,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
main,SICLSP,Code-Based,20,siclsp_T20_inst0,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.7,1.0
main,SICLSP,Code-Based,20,siclsp_T20_inst1,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.2,0.0
main,SICLSP,Code-Based,20,siclsp_T20_inst2,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.6,1.0
